,Provider,PotentialFraud,statecount_uniq,major_state,county_uniq,major_county,sum_IPAnnualReimbursementAmt,mean_IPAnnualReimbursementAmt,max_IPAnnualReimbursementAmt,sum_IPAnnualDeductibleAmtdf,mean_IPAnnualDeductibleAmt,max_IPAnnualDeductibleAmt
84,PRV51112,No,1,1,6,360,1296930,4266.2171052631575,144000,121276,398.9342105263158,5204
85,PRV51113,No,1,1,4,270,383680,2906.6666666666665,42000,46992,356.0,3204
86,PRV51114,No,1,1,7,270,1022740,3903.587786259542,42000,133004,507.64885496183206,8136
87,PRV51115,No,1,1,2,70,29000,4142.857142857143,18000,5340,762.8571428571429,3204
88,PRV51117,No,2,1,5,120,69500,5791.666666666667,29000,6408,534.0,2136
89,PRV51118,No,1,1,5,630,346160,21635.0,144000,29564,1847.75,7136
90,PRV51119,Yes,1,1,10,360,2238420,23562.315789473683,144000,192744,2028.8842105263159,7136
91,PRV51120,No,1,1,1,360,93120,13302.857142857143,30700,10412,1487.4285714285713,2936
92,PRV51121,No,1,1,3,360,116250,16607.14285714286,45000,8544,1220.5714285714287,2136
93,PRV51122,No,1,2,3,20,7040,1005.7142857142857,7040,1068,152.57142857142858,1068
94,PRV51123,No,4,2,11,90,102070,3292.5806451612902,14000,18156,585.6774193548387,2136
95,PRV51125,No,2,2,11,20,312980,6520.416666666667,30000,37380,778.75,2136
96,PRV51126,Yes,1,2,7,120,377400,18870.0,39000,49060,2453.0,5340
97,PRV51128,No,5,2,10,20,485040,9700.8,63100,40584,811.68,3204
98,PRV51129,No,9,2,19,10,426220,4439.791666666667,63100,42720,445.0,5340
99,PRV51130,No,1,2,3,20,20060,2865.714285714286,8000,4204,600.5714285714286,2068
100,PRV51131,No,2,2,3,20,30020,3752.5,15000,5340,667.5,2136
101,PRV51132,No,2,2,4,110,7000,875.0,4000,2136,267.0,1068
102,PRV51134,No,1,2,3,110,32470,2164.6666666666665,17000,4272,284.8,2136
103,PRV51135,No,1,2,2,180,4000,800.0,4000,1068,213.6,1068
104,PRV51136,No,1,2,1,20,20000,20000.0,20000,1068,1068.0,1068
105,PRV51137,No,3,3,13,90,235640,4284.363636363636,42300,33360,606.5454545454545,13068
106,PRV51138,No,3,32,5,220,188640,7255.384615384615,38360,18156,698.3076923076923,4272
107,PRV51139,No,9,3,17,310,178210,4144.418604651163,45200,22428,521.5813953488372,3204
108,PRV51140,No,3,3,7,60,2577460,5292.525667351129,57000,319700,656.4681724845996,9068
109,PRV51141,No,6,3,10,110,323100,4550.704225352113,67570,21360,300.84507042253523,3204
110,PRV51142,No,2,3,6,10,321820,6310.196078431372,57000,37380,732.9411764705883,3204
111,PRV51143,No,10,3,17,80,349820,4543.116883116883,46000,34176,443.84415584415586,3204
112,PRV51144,No,3,3,10,60,122930,4097.666666666667,33020,11748,391.6,2136
113,PRV51145,Yes,7,3,15,90,3261530,16146.18811881188,129400,315072,1559.7623762376238,13068
114,PRV51146,Yes,25,3,49,60,3316080,9420.681818181818,136100,359870,1022.3579545454545,12458
115,PRV51147,No,5,3,11,480,124160,3880.0,45200,12816,400.5,1068
116,PRV51148,Yes,12,5,25,660,1621790,4914.515151515152,116220,170688,517.2363636363636,12272
117,PRV51149,Yes,5,3,14,60,2151060,14534.18918918919,65500,229240,1548.918918918919,8340
118,PRV51151,No,21,5,47,20,1242940,5334.50643776824,103000,161408,692.7381974248927,14136
119,PRV51152,No,2,3,3,80,382460,4607.951807228916,40000,43788,527.566265060241,3204
120,PRV51153,No,14,3,26,10,622840,7159.080459770115,129400,51128,587.6781609195402,5340
121,PRV51154,No,4,3,11,70,550730,3420.6832298136646,38360,65448,406.50931677018633,4572
122,PRV51155,No,2,3,3,60,532310,4628.782608695652,57000,48756,423.96521739130435,8340
123,PRV51156,No,2,3,9,60,2576860,4754.354243542435,66120,258012,476.0369003690037,5204
124,PRV51159,Yes,19,13,53,340,3180110,5588.945518453427,103490,384992,676.6115992970123,15068
125,PRV51160,No,5,3,10,60,1630980,14306.842105263158,88000,174308,1529.017543859649,5340
126,PRV51164,No,5,3,13,60,2214490,5663.657289002557,66120,250880,641.6368286445013,9068
127,PRV51165,No,13,3,33,290,647350,6605.6122448979595,65000,64240,655.5102040816327,6272
128,PRV51166,No,2,3,4,30,36000,7200.0,22000,2136,427.2,1068
129,PRV51167,No,16,50,33,360,862950,4541.8421052631575,72030,89508,471.09473684210525,5340
130,PRV51168,No,7,5,13,140,432440,4970.574712643678,57000,45924,527.8620689655172,4272
131,PRV51169,No,17,3,31,20,269270,3497.012987012987,36130,35108,455.94805194805195,3204
132,PRV51170,Yes,4,3,9,120,234710,14669.375,57000,22292,1393.25,6408
133,PRV51171,No,16,3,24,30,324870,5506.271186440678,58000,36836,624.3389830508474,11204
134,PRV51173,Yes,4,3,10,30,202300,9195.454545454546,44000,20292,922.3636363636364,3204
135,PRV51175,No,5,3,10,200,156800,3824.390243902439,43200,19224,468.8780487804878,3204
136,PRV51176,No,29,32,54,480,2117870,4759.258426966292,93000,214924,482.9752808988764,7068
137,PRV51178,Yes,6,3,12,60,853140,13125.23076923077,64000,90400,1390.7692307692307,9068
138,PRV51179,No,2,3,7,30,203020,7808.461538461538,57000,12816,492.9230769230769,3204
139,PRV51180,No,2,3,5,70,405750,3145.3488372093025,46200,61944,480.1860465116279,3204
140,PRV51181,No,2,3,3,60,112940,11294.0,41000,8544,854.4,3204
141,PRV51183,No,13,3,18,100,980580,8677.699115044248,72030,99324,878.9734513274336,4272
142,PRV51185,No,1,3,2,60,14440,1805.0,9120,3204,400.5,2136
143,PRV51186,No,1,3,2,60,0,0.0,0,0,0.0,0
144,PRV51189,No,4,3,5,10,243180,4342.5,46000,19224,343.2857142857143,3204
145,PRV51190,No,5,5,13,10,194900,2953.030303030303,57080,20792,315.030303030303,2136
146,PRV51191,No,6,3,11,30,106260,3320.625,57660,13884,433.875,1068
147,PRV51194,No,2,3,4,30,32040,3560.0,14000,4272,474.6666666666667,1068
148,PRV51196,No,1,3,4,100,2642620,3670.3055555555557,67570,328188,455.81666666666666,13068
149,PRV51198,No,2,46,2,120,14170,2361.6666666666665,14170,2136,356.0,2136
150,PRV51200,No,2,3,4,90,50400,2652.6315789473683,21100,6708,353.05263157894734,1368
151,PRV51201,No,5,3,9,90,316540,7034.222222222223,67570,39768,883.7333333333333,13068
152,PRV51202,No,1,3,2,60,60030,5002.5,55000,3204,267.0,2136
153,PRV51203,No,1,3,4,10,85800,4085.714285714286,46000,6408,305.14285714285717,3204
154,PRV51204,No,5,3,7,60,2409350,4828.356713426853,65500,277328,555.7675350701403,9068
155,PRV51205,No,2,3,5,10,40000,4000.0,21000,4272,427.2,2136
156,PRV51206,No,2,3,5,90,139620,13962.0,53800,5340,534.0,2136
157,PRV51207,No,1,3,2,110,142480,47493.333333333336,129400,7476,2492.0,5340
158,PRV51209,No,1,3,2,70,137950,3284.5238095238096,32000,24564,584.8571428571429,3204
159,PRV51210,No,1,3,1,60,12160,1351.111111111111,12160,3204,356.0,2136
160,PRV51211,No,1,3,1,60,0,0.0,0,0,0.0,0
161,PRV51212,No,1,3,1,60,100500,6700.0,41500,11580,772.0,3204
162,PRV51213,No,1,3,1,60,0,0.0,0,0,0.0,0
163,PRV51214,No,1,3,1,60,52030,6503.75,21000,7476,934.5,2136
164,PRV51215,No,1,3,1,60,54200,5420.0,51000,4272,427.2,3204
165,PRV51216,No,3,3,5,60,282470,3978.450704225352,55000,35676,502.4788732394366,3204
166,PRV51217,No,1,3,1,60,0,0.0,0,0,0.0,0
167,PRV51218,No,1,3,1,20,4100,585.7142857142857,4100,1068,152.57142857142858,1068
168,PRV51219,No,1,3,1,60,3120,390.0,3000,2136,267.0,1068
169,PRV51221,No,1,3,1,60,0,0.0,0,0,0.0,0
170,PRV51222,No,1,3,2,0,123000,24600.0,41000,3204,640.8,1068
171,PRV51224,No,1,29,1,10,19800,2828.5714285714284,15800,14136,2019.4285714285713,13068
172,PRV51225,No,1,3,2,60,36240,4530.0,26240,3204,400.5,2136
173,PRV51226,No,1,3,1,60,20400,1020.0,12000,4272,213.6,1068
174,PRV51228,No,1,3,1,100,51240,10248.0,44040,2136,427.2,1068
175,PRV51229,No,1,3,1,90,115570,2458.936170212766,22120,16020,340.8510638297872,2136
176,PRV51230,No,2,3,3,60,230940,7698.0,46120,23496,783.2,3204
177,PRV51231,No,1,3,1,130,56000,28000.0,40000,5340,2670.0,3204
178,PRV51232,No,1,3,1,120,38360,38360.0,38360,4272,4272.0,4272
179,PRV51233,No,1,3,3,90,38020,12673.333333333334,20020,5340,1780.0,2136
180,PRV51234,No,1,3,2,60,54010,10802.0,21010,7476,1495.2,2136
181,PRV51235,No,1,3,1,90,62800,31400.0,57800,5340,2670.0,4272
182,PRV51236,No,1,43,1,490,12100,12100.0,12100,1068,1068.0,1068
183,PRV51237,No,1,3,1,70,32000,32000.0,32000,3204,3204.0,3204
184,PRV51238,No,1,3,3,60,228600,28575.0,47000,13884,1735.5,3204
185,PRV51239,No,1,3,1,60,5000,5000.0,5000,1068,1068.0,1068
186,PRV51240,No,2,4,9,170,328100,5468.333333333333,111000,32040,534.0,4272
187,PRV51241,No,5,4,13,130,408320,6805.333333333333,82000,36244,604.0666666666667,3204
188,PRV51242,Yes,4,4,20,20,651120,5865.945945945946,108740,66216,596.5405405405405,9612
189,PRV51243,No,2,4,6,540,72000,2000.0,22000,4272,118.66666666666667,1068
190,PRV51244,Yes,3,4,57,590,8228970,5815.526501766784,144240,893036,631.120848056537,9612
191,PRV51245,No,3,4,7,270,787060,4549.479768786127,33000,96120,555.606936416185,2136
192,PRV51247,No,1,4,7,210,174340,5127.64705882353,26090,67096,1973.4117647058824,23936
193,PRV51248,No,1,4,2,180,59080,29540.0,43080,4272,2136.0,3204
194,PRV51249,Yes,4,4,19,650,1168210,9271.507936507936,91000,151664,1203.6825396825398,13204
195,PRV51250,No,1,4,15,410,398140,4684.0,46700,34976,411.4823529411765,2136
196,PRV51251,No,2,4,10,340,66940,6085.454545454545,26960,8544,776.7272727272727,3204
197,PRV51252,No,5,4,17,80,478410,5498.9655172413795,60000,58332,670.4827586206897,5136
198,PRV51253,No,6,4,17,30,453670,5337.294117647059,108740,57292,674.0235294117647,13204
199,PRV51255,No,2,4,11,410,497820,6727.2972972972975,59000,39516,534.0,3204
200,PRV51256,No,2,4,28,90,416010,4379.0526315789475,59200,43788,460.9263157894737,3204
201,PRV51258,No,1,4,5,510,126940,9067.142857142857,28140,12816,915.4285714285714,2136
202,PRV51259,No,2,4,7,170,396480,18880.0,144240,17088,813.7142857142857,2136
203,PRV51260,No,2,4,14,270,339570,5476.935483870968,46700,21360,344.51612903225805,2136
204,PRV51261,No,6,4,26,940,1231230,8670.633802816901,89000,121760,857.4647887323944,14136
205,PRV51262,No,2,4,11,220,314450,5240.833333333333,72770,32040,534.0,4272
206,PRV51263,Yes,1,4,7,250,408480,9283.636363636364,60000,40584,922.3636363636364,4272
207,PRV51264,No,3,4,19,0,77550,1988.4615384615386,26090,29276,750.6666666666666,23936
208,PRV51265,No,1,4,8,740,562250,3514.0625,91000,91216,570.1,6136
209,PRV51266,No,7,4,26,200,332470,3613.804347826087,34440,48992,532.5217391304348,3068
210,PRV51267,No,2,4,5,450,94160,6725.714285714285,54000,8544,610.2857142857143,2136
211,PRV51271,No,3,4,12,650,418670,3403.8211382113823,33000,45924,373.3658536585366,2136
212,PRV51272,No,2,4,5,460,304050,3848.73417721519,22300,41652,527.2405063291139,2136
213,PRV51273,No,12,4,62,410,2457640,4444.195298372513,144240,200144,361.9240506329114,5204
214,PRV51274,No,1,4,19,580,372250,6418.103448275862,59000,32840,566.2068965517242,3204
215,PRV51276,No,4,4,20,110,466230,6958.6567164179105,55200,60108,897.1343283582089,4272
216,PRV51277,No,5,4,10,710,418830,7098.813559322034,58320,39516,669.7627118644068,3204
217,PRV51279,No,1,4,25,250,949230,4237.633928571428,59200,92916,414.80357142857144,3204
218,PRV51280,No,1,4,13,260,65360,1675.8974358974358,17000,13884,356.0,2136
219,PRV51281,No,1,4,32,340,823980,3181.389961389961,55200,101460,391.73745173745175,3204
220,PRV51282,No,2,4,16,600,346030,5864.9152542372885,55200,40584,687.8644067796611,4272
221,PRV51284,No,1,4,13,590,1811610,4805.331564986737,60620,162068,429.8885941644562,4272
222,PRV51285,No,2,4,20,150,661040,3934.7619047619046,57000,99324,591.2142857142857,4272
223,PRV51286,No,2,4,8,30,699750,9996.42857142857,108740,68352,976.4571428571429,9612
224,PRV51287,No,1,4,8,200,491210,6297.5641025641025,94200,66656,854.5641025641025,23936
225,PRV51288,No,2,4,4,10,138470,17308.75,94200,12816,1602.0,5340
226,PRV51289,No,2,4,6,400,289900,3151.086956521739,20000,35244,383.0869565217391,2136
227,PRV51290,No,1,4,12,720,410960,3636.8141592920356,34800,49128,434.76106194690266,4272
228,PRV51292,No,1,4,5,740,43500,1977.2727272727273,15500,13476,612.5454545454545,5136
229,PRV51293,No,1,4,12,90,281500,3198.8636363636365,60000,22428,254.86363636363637,2136
230,PRV51295,No,2,4,3,100,23000,3285.714285714286,12000,3204,457.7142857142857,1068
231,PRV51296,No,2,4,6,40,99350,3311.6666666666665,24300,11748,391.6,2136
232,PRV51297,No,1,4,6,160,340190,4859.857142857143,36800,48924,698.9142857142857,4068
233,PRV51298,No,1,4,8,140,399140,3991.4,59000,50448,504.48,5068
234,PRV51299,No,1,4,3,690,183930,4971.081081081081,28140,20292,548.4324324324324,2136
235,PRV51300,No,1,4,4,210,439340,8448.846153846154,94200,83116,1598.3846153846155,23936
236,PRV51301,No,1,4,6,650,964070,8607.767857142857,91000,70196,626.75,13204
237,PRV51302,No,1,4,9,110,142340,3310.232558139535,27100,24360,566.5116279069767,4068
238,PRV51303,No,3,4,8,240,301400,3240.8602150537636,112160,29636,318.6666666666667,3204
239,PRV51304,No,1,4,6,220,231950,4548.0392156862745,72000,20292,397.88235294117646,2136
240,PRV51305,No,2,4,5,460,187880,3834.285714285714,35000,25632,523.1020408163265,2136
241,PRV51306,No,2,26,3,590,116740,6867.058823529412,108740,11748,691.0588235294117,9612
242,PRV51307,No,2,4,4,560,21230,573.7837837837837,9000,4272,115.45945945945945,1068
243,PRV51308,No,2,4,6,710,117010,3343.1428571428573,36800,16884,482.4,4068
244,PRV51309,No,2,4,5,70,130500,7250.0,49500,9612,534.0,2136
245,PRV51311,No,1,4,3,230,52150,2483.3333333333335,19030,7476,356.0,2136
246,PRV51312,No,3,4,10,560,73220,1591.7391304347825,22000,10680,232.17391304347825,2136
247,PRV51313,No,1,4,5,340,155400,8178.9473684210525,59200,5340,281.05263157894734,1068
248,PRV51314,No,1,4,4,470,23000,766.6666666666666,12000,3204,106.8,1068
249,PRV51315,No,1,4,4,320,123400,2625.531914893617,34800,6408,136.3404255319149,3204
250,PRV51316,No,1,4,1,720,21280,7093.333333333333,12000,3204,1068.0,1068
251,PRV51318,No,1,4,2,340,21120,7040.0,9120,5340,1780.0,2136
252,PRV51322,No,1,4,1,170,13000,1083.3333333333333,7000,2136,178.0,1068
253,PRV51323,No,1,4,2,550,130800,1721.0526315789473,8300,28836,379.42105263157896,2136
254,PRV51324,No,1,4,1,650,341000,12178.57142857143,91000,19816,707.7142857142857,5204
255,PRV51325,No,1,4,1,490,1095800,73053.33333333333,144240,22428,1495.2,2136
256,PRV51326,No,1,4,3,440,82000,1863.6363636363637,33000,10680,242.72727272727272,3204
257,PRV51327,No,1,4,1,570,27900,680.4878048780488,10000,5340,130.2439024390244,1068
258,PRV51328,No,1,4,1,320,0,0.0,0,0,0.0,0
259,PRV51329,No,1,4,2,630,164800,2227.027027027027,17000,13884,187.6216216216216,1068
260,PRV51330,No,1,4,1,530,4000,210.52631578947367,4000,1068,56.21052631578947,1068
261,PRV51331,No,1,4,2,380,20000,4000.0,14000,2136,427.2,1068
262,PRV51334,No,1,4,1,570,16200,8100.0,10000,2136,1068.0,1068
263,PRV51335,No,1,4,10,30,883280,6220.281690140845,91000,58740,413.6619718309859,4272
264,PRV51336,No,5,5,17,470,390420,5658.260869565217,73210,36312,526.2608695652174,5340
265,PRV51337,Yes,5,5,17,660,1051510,6258.988095238095,51400,118548,705.6428571428571,3204
266,PRV51338,Yes,11,5,29,20,643160,5024.6875,68100,81100,633.59375,6408
267,PRV51340,No,7,5,32,480,608080,4027.019867549669,63400,89732,594.2516556291391,8136
268,PRV51341,No,5,5,13,200,324620,4572.112676056338,103000,22428,315.88732394366195,2136
269,PRV51342,No,2,5,28,620,1002140,4841.256038647343,87000,114140,551.4009661835748,4272
270,PRV51344,No,2,5,9,60,96780,2932.7272727272725,18030,12816,388.3636363636364,3204
271,PRV51345,No,1,5,6,90,276870,5650.408163265306,87000,25632,523.1020408163265,6408
272,PRV51346,No,6,5,25,20,1281550,4817.857142857143,57000,158416,595.5488721804511,14204
273,PRV51347,Yes,5,5,15,400,7054440,3412.88824383164,116220,883124,427.2491533623609,8136
274,PRV51348,No,3,5,16,0,533310,9696.545454545454,101980,60808,1105.6,4272
275,PRV51349,No,3,5,8,660,134010,4467.0,29100,19224,640.8,3204
276,PRV51350,No,8,5,30,910,1007770,4216.610878661088,84100,171910,719.2887029288703,31068
277,PRV51351,No,2,5,7,460,295160,9223.75,93400,21360,667.5,4272
278,PRV51352,No,1,5,3,430,3000,750.0,3000,1068,267.0,1068
279,PRV51353,No,1,5,5,0,115060,6392.222222222223,29000,11748,652.6666666666666,2136
280,PRV51354,No,1,5,2,480,24000,6000.0,24000,2136,534.0,2136
281,PRV51355,No,1,5,13,60,452820,6119.189189189189,87000,52332,707.1891891891892,4272
282,PRV51356,No,3,5,18,480,679610,7153.789473684211,74140,58472,615.4947368421052,5340
283,PRV51357,Yes,3,5,21,370,627250,3895.9627329192544,64580,90692,563.304347826087,9068
284,PRV51358,No,1,5,6,540,146710,8630.0,43560,14952,879.5294117647059,3204
285,PRV51360,No,2,5,8,460,204200,7041.379310344828,38720,19224,662.8965517241379,3204
286,PRV51361,No,2,5,6,400,255580,7986.875,59210,27360,855.0,9204
287,PRV51362,No,4,5,12,370,357490,8124.772727272727,59000,40108,911.5454545454545,8136
288,PRV51363,No,2,5,3,200,0,0.0,0,0,0.0,0
289,PRV51364,No,1,5,5,400,115730,5031.739130434783,21000,14952,650.0869565217391,2136
290,PRV51366,No,2,5,12,500,161610,2835.2631578947367,40000,19224,337.2631578947368,2136
291,PRV51368,No,1,5,2,460,0,0.0,0,0,0.0,0
292,PRV51369,Yes,6,5,20,470,8924170,4284.287085933749,83700,974356,467.7657225156025,6204
293,PRV51371,No,2,5,13,60,242380,5269.130434782609,38800,32040,696.5217391304348,5340
294,PRV51376,No,2,5,9,70,151560,2971.764705882353,27000,18156,356.0,2136
295,PRV51377,No,4,3,11,60,563250,5928.9473684210525,59600,49128,517.1368421052632,4272
296,PRV51378,Yes,3,5,19,90,2821020,17521.86335403727,124530,246960,1533.9130434782608,6408
297,PRV51379,No,1,5,6,480,176600,8027.272727272727,39300,13884,631.0909090909091,2136
298,PRV51380,No,2,5,5,0,55840,6980.0,25560,5340,667.5,1068
299,PRV51382,No,1,5,5,660,102750,6421.875,45400,8544,534.0,3204
300,PRV51383,No,1,5,13,480,459560,5968.311688311688,48120,52332,679.6363636363636,3204
301,PRV51386,No,5,5,19,580,2152060,5633.664921465968,57000,228216,597.4240837696335,5840
302,PRV51387,No,1,5,12,650,291440,4939.661016949152,38940,44788,759.1186440677966,2636
303,PRV51388,No,3,5,19,310,508380,5911.395348837209,61000,63444,737.7209302325581,5840
304,PRV51389,No,3,5,20,90,381630,4830.7594936708865,32000,48060,608.3544303797469,2136
305,PRV51390,Yes,13,5,40,60,3046830,11079.381818181819,103000,323860,1177.6727272727273,6272
306,PRV51391,No,4,5,23,310,799980,4519.661016949152,57160,96304,544.090395480226,9068
307,PRV51392,No,1,5,6,480,120540,7090.588235294118,29150,18156,1068.0,2136
308,PRV51393,Yes,6,5,20,590,3977110,4370.450549450549,94000,358944,394.44395604395606,3204
