Provider,PotentialFraud,DeductibleAmtPaid_mean,DeductibleAmtPaid_max,NoOfMonths_PartACov_mean,NoOfMonths_PartBCov_mean,OPAnnualReimbursementAmt_mean,OPAnnualReimbursementAmt_max,OPAnnualReimbursementAmt_sum,OPAnnualDeductibleAmt_mean,OPAnnualDeductibleAmt_max,OPAnnualDeductibleAmt_sum
PRV51037,Yes,56.220264317180614,1068.0,11.973568281938325,11.931718061674008,2154.0308370044054,15860,977930,573.7444933920705,3530,260480
PRV51038,No,222.8,1068.0,11.914893617021276,11.936170212765957,2191.1347517730496,15900,308950,622.9787234042553,3450,87840
PRV51040,No,103.34117647058824,1068.0,11.790697674418604,12.0,2433.0232558139537,22320,209240,601.8604651162791,5020,51760
PRV51041,No,7.9411764705882355,100.0,12.0,12.0,2287.6470588235293,28900,77780,613.8235294117648,7680,20870
PRV51042,No,2.183098591549296,100.0,12.0,11.830985915492958,2390.4225352112676,29400,339440,683.943661971831,5710,97120
PRV51043,No,0.0,0.0,12.0,12.0,1605.2173913043478,6580,36920,550.4347826086956,1640,12660
PRV51044,No,2.2033898305084745,100.0,12.0,12.0,2770.508474576271,28900,163460,968.1355932203389,7680,57120
PRV51045,No,1.2903225806451613,40.0,12.0,12.0,1972.9032258064517,18800,61160,548.0645161290323,2810,16990
PRV51046,No,227.47368421052633,1068.0,11.68421052631579,11.68421052631579,2156.5789473684213,24830,81950,673.1578947368421,7010,25580
PRV51047,No,0.0,0.0,12.0,12.0,1662.7272727272727,5310,18290,692.7272727272727,1640,7620
PRV51048,No,114.52631578947368,1068.0,11.68421052631579,12.0,2144.4736842105262,5660,81490,560.7894736842105,2040,21310
PRV51049,No,2.676056338028169,100.0,11.661971830985916,11.830985915492958,3230.9859154929577,30350,229400,1044.0845070422536,8070,74130
PRV51052,Yes,51.0,1068.0,11.73913043478261,12.0,2126.7391304347825,7230,97830,499.3478260869565,3330,22970
PRV51053,No,1068.0,1068.0,12.0,12.0,90.0,90,90,0.0,0,0
PRV51054,No,2.456140350877193,100.0,11.789473684210526,11.947368421052632,2455.964912280702,31880,139990,875.7894736842105,9950,49920
PRV51055,No,100.27272727272727,1068.0,12.0,12.0,1344.090909090909,4550,29570,502.27272727272725,1760,11050
PRV51056,No,97.54545454545455,1068.0,12.0,12.0,3560.4545454545455,23330,78330,961.3636363636364,8280,21150
PRV51057,No,0.0,0.0,12.0,12.0,3138.0,7960,15690,874.0,1380,4370
PRV51058,No,66.74698795180723,1068.0,12.0,12.0,2156.144578313253,15350,178960,663.9759036144578,5200,55110
PRV51059,Yes,280.625,1068.0,11.5,11.635416666666666,2192.0833333333335,31030,210440,394.7916666666667,3840,37900
PRV51060,No,127.14285714285714,1068.0,11.428571428571429,11.785714285714286,1463.5714285714287,6020,61470,562.8571428571429,2280,23640
PRV51061,No,9.158620689655173,1068.0,11.972413793103449,12.0,3303.3793103448274,23330,478990,844.0689655172414,8280,122390
PRV51062,No,9.934508816120907,1068.0,11.909319899244332,11.851385390428211,2619.5465994962215,33850,1039960,748.5642317380352,7680,297180
PRV51063,No,1.0738255033557047,70.0,11.838926174496644,12.0,3000.4026845637586,97510,447060,681.0402684563759,4880,101475
PRV51064,Yes,128.54125412541254,1068.0,11.881188118811881,11.943894389438944,2739.1419141914193,29210,829960,734.3894389438943,7680,222520
PRV51065,No,360.0740740740741,1068.0,11.571428571428571,12.0,1754.2857142857142,5560,49120,580.7142857142857,2040,16260
PRV51066,No,93.16666666666667,1068.0,12.0,12.0,1150.0,3500,27600,563.3333333333334,1690,13520
PRV51067,Yes,225.79310344827587,1068.0,11.586206896551724,11.568965517241379,1909.655172413793,5510,110760,341.8965517241379,2040,19830
PRV51068,No,34.55384615384615,1068.0,11.954022988505747,11.908045977011493,1907.9310344827586,30420,497970,572.2528735632184,7000,149358
PRV51070,No,110.9090909090909,1068.0,11.878787878787879,12.0,2945.050505050505,18100,291560,791.3131313131313,6050,78340
PRV51071,No,2.0833333333333335,30.0,11.5,11.541666666666666,2279.1666666666665,5490,54700,440.8333333333333,2040,10580
PRV51072,No,57.71563981042654,1068.0,11.943396226415095,11.900943396226415,2049.622641509434,30420,434520,600.2358490566038,7680,127250
PRV51074,No,138.97435897435898,1068.0,12.0,11.692307692307692,1971.7948717948718,14270,76900,662.8205128205128,3840,25850
PRV51075,No,4.117647058823529,70.0,11.294117647058824,11.294117647058824,2908.823529411765,8320,49450,761.7647058823529,1670,12950
PRV51076,No,1.7241379310344827,50.0,11.586206896551724,11.793103448275861,2123.448275862069,8320,61580,566.551724137931,2250,16430
PRV51077,Yes,506.875,1068.0,12.0,11.969696969696969,2504.5454545454545,12560,82650,781.2121212121212,3470,25780
PRV51078,No,392.90909090909093,1068.0,12.0,12.0,952.6086956521739,5170,21910,370.8695652173913,2230,8530
PRV51081,No,35.84,1068.0,11.76,11.755,2594.9,24830,518980,767.15,7010,153430
PRV51082,No,2.0588235294117645,70.0,12.0,12.0,5270.882352941177,97510,179210,601.0294117647059,5290,20435
PRV51083,No,1.5555555555555556,40.0,11.8,11.866666666666667,2090.0,13840,188100,519.1111111111111,3670,46720
PRV51084,Yes,199.0,1068.0,12.0,11.945454545454545,1378.0,8320,151580,396.6363636363636,2630,43630
PRV51086,No,238.61870503597123,1068.0,12.0,11.971223021582734,2327.1942446043167,31880,323480,817.2661870503597,9950,113600
PRV51089,No,82.36123348017621,1068.0,11.868421052631579,11.947368421052632,2025.482456140351,15900,461810,612.4122807017544,5200,139630
PRV51090,No,8.571428571428571,60.0,12.0,12.0,2831.4285714285716,8320,19820,735.7142857142857,1840,5150
PRV51091,No,1.8181818181818181,80.0,11.727272727272727,11.795454545454545,2429.090909090909,33850,106880,629.0454545454545,5290,27678
PRV51093,No,237.33333333333334,1068.0,12.0,12.0,900.0,2670,8100,326.6666666666667,1330,2940
PRV51096,No,20.0,100.0,12.0,12.0,3372.0,14260,16860,1004.0,3950,5020
PRV51097,No,1.84,90.0,11.904,11.96,3009.44,29210,376180,768.16,7680,96020
PRV51098,No,0.0,0.0,12.0,9.75,2297.5,3520,9190,580.0,1070,2320
PRV51100,No,1068.0,1068.0,12.0,12.0,742.0,2010,3710,236.0,770,1180
PRV51101,No,1068.0,1068.0,12.0,12.0,173.33333333333334,300,520,110.0,190,330
PRV51102,No,1068.0,1068.0,12.0,12.0,739.1666666666666,2650,8870,153.33333333333334,480,1840
PRV51103,Yes,10.0,60.0,12.0,12.0,1138.3333333333333,1840,6830,478.3333333333333,870,2870
PRV51104,No,9.166666666666666,100.0,12.0,12.0,1849.1666666666667,3870,22190,405.0,840,4860
PRV51105,No,0.0,0.0,12.0,12.0,4275.0,22680,51300,974.1666666666666,5050,11690
PRV51108,No,1068.0,1068.0,12.0,11.368421052631579,2044.2105263157894,8290,38840,477.89473684210526,1550,9080
PRV51109,No,1068.0,1068.0,12.0,12.0,1070.0,2840,3210,676.6666666666666,1640,2030
PRV51110,No,1068.0,1068.0,12.0,12.0,1188.0,2550,5940,274.0,850,1370
PRV51111,No,1.5151515151515151,100.0,11.909090909090908,11.984848484848484,3962.121212121212,33850,523000,1025.378787878788,8280,135350
PRV51112,No,2.664473684210526,100.0,12.0,11.983552631578947,3500.4934210526317,97510,1064150,859.6875,7000,261345
PRV51113,No,4.166666666666667,100.0,11.818181818181818,11.909090909090908,3128.560606060606,30420,412970,767.3484848484849,7000,101290
PRV51114,No,2.1374045801526718,100.0,11.954198473282442,12.0,2914.8473282442746,33850,763690,713.5114503816794,7000,186940
PRV51115,No,2.857142857142857,20.0,12.0,12.0,1530.0,6660,10710,474.2857142857143,1720,3320
PRV51117,No,0.0,0.0,12.0,12.0,4857.5,14600,58290,701.6666666666666,3070,8420
PRV51118,No,1068.0,1068.0,12.0,12.0,7256.25,97510,116100,450.3125,1190,7205
PRV51119,Yes,1065.7692307692307,1068.0,11.74736842105263,11.873684210526315,4823.0526315789475,97510,458190,506.36842105263156,3470,48105
PRV51120,No,1068.0,1068.0,12.0,12.0,470.0,1080,3290,145.71428571428572,360,1020
PRV51121,No,915.4285714285714,1068.0,12.0,11.857142857142858,5070.0,30420,35490,1382.857142857143,7000,9680
PRV51122,No,0.0,0.0,12.0,12.0,3861.4285714285716,21990,27030,1172.857142857143,3740,8210
PRV51123,No,70.19354838709677,1068.0,12.0,12.0,4735.1612903225805,47140,146790,1222.9032258064517,12090,37910
PRV51125,No,272.8333333333333,1068.0,12.0,12.0,2234.375,8720,107250,577.2916666666666,2210,27710
PRV51126,Yes,1068.0,1068.0,12.0,12.0,6082.5,47140,121650,1647.5,12090,32950
PRV51128,No,106.8,1068.0,11.88,11.76,2007.2,21990,100360,625.4,3740,31270
PRV51129,No,5.0,100.0,11.6875,11.75,2546.9791666666665,47140,244510,588.0208333333334,12090,56450
PRV51130,No,0.0,0.0,12.0,10.285714285714286,1795.7142857142858,3510,12570,868.5714285714286,3170,6080
PRV51131,No,8.75,70.0,12.0,12.0,973.75,1630,7790,332.5,610,2660
PRV51132,No,133.5,1068.0,9.0,9.0,1133.75,2410,9070,692.5,1720,5540
PRV51134,No,5.333333333333333,80.0,12.0,12.0,7354.0,21990,110310,1463.3333333333333,3740,21950
PRV51135,No,0.0,0.0,12.0,12.0,364.0,780,1820,96.0,360,480
PRV51136,No,1068.0,1068.0,12.0,12.0,400.0,400,400,220.0,220,220
PRV51137,No,24.509090909090908,1068.0,11.781818181818181,11.981818181818182,1896.5454545454545,9700,104310,599.6363636363636,2640,32980
PRV51138,No,41.07692307692308,1068.0,11.538461538461538,11.538461538461538,1672.3076923076924,4590,43480,421.15384615384613,2310,10950
PRV51139,No,174.7906976744186,1068.0,11.906976744186046,12.0,2857.906976744186,34870,122890,716.7441860465116,6040,30820
PRV51140,No,103.74074074074075,1068.0,11.926078028747433,11.979466119096509,2471.3141683778235,39030,1203530,697.4743326488706,9140,339670
PRV51141,No,2.3943661971830985,90.0,11.32394366197183,12.0,1347.1830985915492,16380,95650,407.46478873239437,5150,28930
PRV51142,No,147.76470588235293,1068.0,12.0,11.980392156862745,2528.0392156862745,16380,128930,683.5294117647059,5150,34860
PRV51143,No,4.545454545454546,100.0,11.844155844155845,11.948051948051948,1568.8311688311687,14750,120800,467.14285714285717,2190,35970
PRV51144,No,149.73333333333332,1068.0,12.0,12.0,2092.6666666666665,6710,62780,573.0,2150,17190
PRV51145,Yes,846.4365482233502,1068.0,11.94059405940594,12.0,1350.7920792079208,28340,272860,420.0,6680,84840
PRV51146,Yes,490.48571428571427,1068.0,11.914772727272727,11.965909090909092,2211.903409090909,47140,778590,651.5056818181819,12090,229330
PRV51147,No,6.5625,200.0,12.0,11.875,2430.9375,18680,77790,646.875,5150,20700
PRV51148,Yes,110.3161094224924,1068.0,11.963636363636363,11.957575757575757,2557.3636363636365,39790,843930,752.1212121212121,8070,248200
PRV51149,Yes,837.5540540540541,1068.0,11.837837837837839,11.932432432432432,2759.864864864865,39030,408460,761.6216216216217,9140,112720
PRV51151,No,100.42241379310344,1068.0,11.896995708154506,12.0,2602.489270386266,39030,606380,779.0128755364807,9140,181510
PRV51152,No,6.024096385542169,100.0,11.710843373493976,12.0,2278.0722891566265,14240,189080,681.2048192771084,3020,56540
PRV51153,No,56.3448275862069,1068.0,11.862068965517242,12.0,1649.8850574712644,9700,143540,477.35632183908046,3110,41530
PRV51154,No,4.906832298136646,200.0,12.0,12.0,2089.503105590062,20130,336410,581.2422360248447,5030,93580
PRV51155,No,1.391304347826087,100.0,12.0,11.939130434782609,1714.0,16460,197110,437.6521739130435,3000,50330
PRV51156,No,3.1734317343173433,200.0,11.977859778597786,12.0,2352.361623616236,39030,1274980,671.1439114391144,9140,363760
PRV51159,Yes,123.81370826010544,1068.0,11.85237258347979,11.9103690685413,2153.3567662565906,85160,1225260,575.5114235500879,7530,327466
PRV51160,No,843.3333333333334,1068.0,11.789473684210526,12.0,1838.859649122807,39030,209630,566.8421052631579,9140,64620
PRV51164,No,113.93350383631713,1068.0,11.938618925831202,11.966751918158568,2515.6010230179027,39030,983600,726.0358056265985,9650,283880
PRV51165,No,286.61224489795916,1068.0,11.877551020408163,11.857142857142858,2340.408163265306,29770,229360,657.8571428571429,8560,64470
PRV51166,No,213.6,1068.0,12.0,12.0,2602.0,7810,13010,650.0,1880,3250
PRV51167,No,2.1578947368421053,100.0,11.926315789473684,11.905263157894737,1847.4736842105262,23690,351020,587.9473684210526,5960,111710
PRV51168,No,112.4367816091954,1068.0,12.0,11.862068965517242,2257.1264367816093,20740,196370,573.9080459770115,3340,49930
PRV51169,No,0.6493506493506493,50.0,12.0,11.987012987012987,3164.025974025974,22140,243630,873.2467532467532,5500,67240
PRV51170,Yes,534.0,1068.0,11.25,12.0,1305.625,4490,20890,362.5,1500,5800
PRV51171,No,3.389830508474576,70.0,11.796610169491526,11.966101694915254,2405.2542372881358,20870,141910,796.1016949152543,5500,46970
PRV51173,Yes,348.90909090909093,1068.0,12.0,11.818181818181818,4183.181818181818,22040,92030,1070.4545454545455,5230,23550
PRV51175,No,2.1951219512195124,50.0,12.0,12.0,1798.0487804878048,20190,73720,558.0487804878048,5940,22880
PRV51176,No,1.9550561797752808,100.0,12.0,11.919101123595505,2873.303370786517,47140,1278620,826.561797752809,12090,367820
PRV51178,Yes,563.1076923076923,1068.0,11.815384615384616,11.938461538461539,2757.076923076923,21760,179210,759.8461538461538,6850,49390
PRV51179,No,0.0,0.0,12.0,12.0,2876.923076923077,23970,74800,657.3076923076923,4150,17090
PRV51180,No,18.728682170542637,1068.0,12.0,11.906976744186046,2314.263565891473,18680,298540,621.3178294573644,3340,80150
PRV51181,No,0.0,0.0,12.0,12.0,1753.0,4300,17530,774.0,1850,7740
PRV51183,No,382.05357142857144,1068.0,12.0,11.893805309734514,2261.504424778761,33040,255550,611.858407079646,6300,69140
PRV51185,No,0.0,0.0,12.0,12.0,1481.25,4490,11850,856.25,1770,6850
PRV51186,No,0.0,0.0,12.0,12.0,140.0,180,280,45.0,60,90
PRV51189,No,4.285714285714286,100.0,11.982142857142858,12.0,1620.892857142857,8520,90770,470.5357142857143,3110,26350
PRV51190,No,53.54545454545455,1068.0,12.0,12.0,1981.2121212121212,22990,130760,652.2727272727273,4560,43050
PRV51191,No,2.8125,90.0,12.0,12.0,2737.5,20870,87600,863.125,5500,27620
PRV51194,No,237.33333333333334,1068.0,12.0,12.0,1135.5555555555557,2240,10220,415.55555555555554,1810,3740
PRV51196,No,2.4305555555555554,100.0,11.983333333333333,11.990277777777777,2181.8194444444443,25020,1570910,662.8333333333334,5570,477240
PRV51198,No,5.0,30.0,12.0,12.0,628.3333333333334,2130,3770,626.6666666666666,950,3760
PRV51200,No,0.0,0.0,12.0,12.0,1578.9473684210527,4940,30000,534.2105263157895,1650,10150
PRV51201,No,1.1111111111111112,50.0,12.0,11.977777777777778,2593.777777777778,16380,116720,701.5555555555555,5150,31570
PRV51202,No,0.0,0.0,12.0,12.0,7299.166666666667,39030,87590,1990.0,9140,23880
PRV51203,No,3.8095238095238093,80.0,12.0,12.0,3174.7619047619046,16380,66670,952.8571428571429,5150,20010
PRV51204,No,1.2024048096192386,100.0,11.927855711422845,11.97194388777555,2439.438877755511,39030,1217280,689.8597194388777,9140,344240
PRV51205,No,7.0,70.0,12.0,12.0,3035.0,17080,30350,1051.0,5270,10510
PRV51206,No,0.0,0.0,12.0,12.0,1857.0,5620,18570,439.0,1040,4390
PRV51207,No,1068.0,1068.0,12.0,12.0,583.3333333333334,1570,1750,30.0,50,90
PRV51209,No,4.0476190476190474,100.0,12.0,11.714285714285714,2213.095238095238,17640,92950,625.952380952381,3340,26290
PRV51210,No,0.0,0.0,12.0,12.0,2210.0,7010,19890,426.6666666666667,940,3840
PRV51211,No,0.0,0.0,12.0,12.0,1390.0,2100,2780,495.0,720,990
PRV51212,No,4.666666666666667,70.0,12.0,11.466666666666667,2342.0,7090,35130,526.0,1700,7890
PRV51213,No,0.0,0.0,12.0,12.0,1140.0,2190,2280,110.0,200,220
PRV51214,No,0.0,0.0,12.0,12.0,1577.5,3860,12620,853.75,1880,6830
PRV51215,No,0.0,0.0,12.0,12.0,3785.0,22990,37850,863.0,5520,8630
PRV51216,No,8.028169014084508,200.0,12.0,12.0,3461.2676056338028,52900,245750,930.0,9140,66030
PRV51217,No,0.0,0.0,12.0,12.0,5594.0,20550,27970,1560.0,5040,7800
PRV51218,No,0.0,0.0,12.0,12.0,511.42857142857144,1350,3580,251.42857142857142,880,1760
PRV51219,No,0.0,0.0,12.0,12.0,1485.0,4320,11880,200.0,470,1600
PRV51221,No,0.0,0.0,12.0,12.0,240.0,240,240,150.0,150,150
PRV51222,No,0.0,0.0,12.0,12.0,1882.0,2560,9410,300.0,380,1500
PRV51224,No,0.0,0.0,10.285714285714286,10.285714285714286,1711.4285714285713,6800,11980,248.57142857142858,560,1740
PRV51225,No,0.0,0.0,12.0,12.0,1111.25,4460,8890,543.75,1610,4350
PRV51226,No,13.5,200.0,12.0,12.0,1575.5,5330,31510,430.5,1280,8610
PRV51228,No,14.0,70.0,12.0,12.0,456.0,1280,2280,412.0,860,2060
PRV51229,No,2.3404255319148937,50.0,11.74468085106383,11.97872340425532,1232.5531914893618,4930,57930,381.48936170212767,1240,17930
PRV51230,No,0.0,0.0,12.0,11.8,2307.6666666666665,21760,69230,679.3333333333334,6850,20380
PRV51231,No,1068.0,1068.0,12.0,12.0,1895.0,3520,3790,110.0,160,220
PRV51232,No,1068.0,1068.0,12.0,12.0,3990.0,3990,3990,1200.0,1200,1200
PRV51233,No,1068.0,1068.0,12.0,12.0,623.3333333333334,1600,1870,540.0,1500,1620
PRV51234,No,1068.0,1068.0,12.0,12.0,850.0,1800,4250,202.0,470,1010
PRV51235,No,1068.0,1068.0,12.0,12.0,220.0,440,440,15.0,30,30
PRV51236,No,1068.0,1068.0,12.0,12.0,150.0,150,150,10.0,10,10
PRV51237,No,1068.0,1068.0,12.0,12.0,17640.0,17640,17640,3340.0,3340,3340
PRV51238,No,1068.0,1068.0,12.0,12.0,1385.0,5110,11080,372.5,1690,2980
PRV51239,No,1068.0,1068.0,12.0,0.0,0.0,0,0,0.0,0,0
PRV51240,No,196.46666666666667,1068.0,12.0,12.0,2261.3333333333335,18380,135680,414.8333333333333,1560,24890
PRV51241,No,165.6271186440678,1068.0,12.0,12.0,1406.3333333333333,4440,84380,385.6666666666667,1870,23140
PRV51242,Yes,100.9090909090909,1068.0,12.0,12.0,2725.3153153153153,23770,302510,634.8648648648649,4540,70470
PRV51243,No,7.5,100.0,12.0,12.0,1516.111111111111,4520,54580,420.0,1550,15120
PRV51244,Yes,150.18993621545005,1068.0,11.864310954063605,11.860070671378091,2010.5017667844522,36010,2844860,537.0883392226149,10620,759980
PRV51245,No,22.63953488372093,1068.0,12.0,11.982658959537572,5022.023121387283,36010,868810,1441.4450867052024,10620,249370
PRV51247,No,294.6060606060606,1068.0,12.0,12.0,1401.1764705882354,5300,47640,396.47058823529414,1230,13480
PRV51248,No,534.0,1068.0,12.0,12.0,550.0,1100,1100,90.0,180,180
PRV51249,Yes,418.4878048780488,1068.0,12.0,11.904761904761905,1486.7460317460318,6660,187330,402.6190476190476,2200,50730
PRV51250,No,3.2941176470588234,100.0,11.858823529411765,11.858823529411765,2157.176470588235,26160,183360,748.7058823529412,5280,63640
PRV51251,No,0.0,0.0,12.0,12.0,1620.909090909091,3360,17830,434.54545454545456,860,4780
PRV51252,No,213.4418604651163,1068.0,11.862068965517242,12.0,1552.2988505747126,12850,135050,464.02298850574715,5930,40370
PRV51253,No,3.5294117647058822,100.0,12.0,11.8,2427.764705882353,31200,206360,658.4705882352941,8290,55970
PRV51255,No,29.675675675675677,1068.0,11.837837837837839,12.0,3022.162162162162,22820,223640,704.5945945945946,5220,52140
PRV51256,No,0.0,0.0,11.873684210526315,11.873684210526315,1955.8947368421052,14900,185810,584.5263157894736,3920,55530
PRV51258,No,624.5714285714286,1068.0,12.0,12.0,1420.7142857142858,4110,19890,437.85714285714283,1250,6130
PRV51259,No,203.42857142857142,1068.0,12.0,12.0,4005.2380952380954,26950,84110,925.7142857142857,5620,19440
PRV51260,No,51.67741935483871,1068.0,11.806451612903226,11.806451612903226,3240.8064516129034,36010,200930,956.4516129032259,10620,59300
PRV51261,No,192.3404255319149,1068.0,11.915492957746478,11.985915492957746,2634.718309859155,36010,374130,674.2957746478874,10620,95750
PRV51262,No,0.6666666666666666,40.0,12.0,12.0,2173.6666666666665,26160,130420,556.6666666666666,5280,33400
PRV51263,Yes,438.5,1068.0,12.0,12.0,1333.409090909091,8800,58670,449.3181818181818,3920,19770
PRV51264,No,3.076923076923077,80.0,11.384615384615385,12.0,1793.076923076923,14900,69930,497.43589743589746,3390,19400
PRV51265,No,4.6875,200.0,11.775,12.0,2219.375,22820,355100,618.875,5220,99020
PRV51266,No,107.27472527472527,1068.0,12.0,12.0,1841.0869565217392,9560,169380,540.6521739130435,3920,49740
PRV51267,No,154.71428571428572,1068.0,12.0,11.142857142857142,910.0,2840,12740,426.42857142857144,1770,5970
PRV51271,No,18.991869918699187,1068.0,12.0,11.951219512195122,1821.4634146341464,22820,224040,517.9674796747968,5220,63710
PRV51272,No,34.88607594936709,1068.0,12.0,12.0,2275.6962025316457,36010,179780,520.632911392405,10620,41130
PRV51273,No,2.5316455696202533,200.0,11.934900542495479,11.99638336347197,1848.8969258589511,26950,1022440,558.8969258589511,5620,309070
PRV51274,No,185.17241379310346,1068.0,11.793103448275861,12.0,1336.7241379310344,4930,77530,520.8620689655172,3270,30210
PRV51276,No,227.9402985074627,1068.0,11.82089552238806,11.82089552238806,1552.8358208955224,15840,104040,525.5223880597015,3120,35210
PRV51277,No,185.08474576271186,1068.0,12.0,12.0,2414.0677966101694,39030,142430,708.1355932203389,9140,41780
PRV51279,No,3.3482142857142856,100.0,12.0,11.973214285714286,1875.1785714285713,25540,420040,595.4910714285714,8200,133390
PRV51280,No,0.0,0.0,11.692307692307692,12.0,3029.74358974359,26160,118160,817.6923076923077,5280,31890
PRV51281,No,2.664092664092664,100.0,11.953667953667953,11.768339768339768,2059.76833976834,22820,533480,538.4555984555984,5220,139460
PRV51282,No,146.16949152542372,1068.0,12.0,12.0,1583.2203389830509,30200,93410,385.4237288135593,2410,22740
PRV51284,No,48.026595744680854,1068.0,11.809018567639257,11.917771883289126,2001.8832891246684,26160,754710,587.9310344827586,8200,221650
PRV51285,No,98.39285714285714,1068.0,12.0,12.0,1717.9761904761904,30200,288620,443.0952380952381,5160,74440
PRV51286,No,233.28571428571428,1068.0,12.0,11.657142857142857,1139.7142857142858,4840,79780,402.85714285714283,1430,28200
PRV51287,No,1.2820512820512822,70.0,12.0,12.0,2492.8205128205127,15190,194440,693.5897435897435,4110,54100
PRV51288,No,400.5,1068.0,12.0,12.0,3508.75,15190,28070,901.25,4110,7210
PRV51289,No,2.608695652173913,100.0,11.347826086956522,12.0,5194.782608695652,24300,477920,1057.391304347826,4960,97280
PRV51290,No,2.3008849557522124,90.0,12.0,12.0,993.2743362831858,5470,112240,335.39823008849555,1480,37900
PRV51292,No,0.0,0.0,12.0,12.0,1443.1818181818182,3850,31750,360.0,1360,7920
PRV51293,No,0.22727272727272727,20.0,12.0,11.920454545454545,1817.7272727272727,11540,159960,606.0227272727273,3920,53330
PRV51295,No,0.0,0.0,12.0,12.0,1347.142857142857,3900,9430,345.7142857142857,1130,2420
PRV51296,No,109.46666666666667,1068.0,12.0,11.2,1820.3333333333333,6930,54610,449.6666666666667,1490,13490
PRV51297,No,77.28571428571429,1068.0,12.0,12.0,3440.0,22820,240800,869.7142857142857,5220,60880
PRV51298,No,5.5,100.0,11.52,12.0,1523.9,30200,152390,456.2,2250,45620
PRV51299,No,0.8108108108108109,30.0,12.0,12.0,1649.7297297297298,6020,61040,538.6486486486486,1990,19930
PRV51300,No,146.84615384615384,1068.0,11.76923076923077,11.23076923076923,1935.3846153846155,15190,100640,493.65384615384613,4110,25670
PRV51301,No,59.982142857142854,1068.0,12.0,11.946428571428571,2175.3571428571427,6970,243640,661.875,2200,74130
PRV51302,No,250.0,1068.0,12.0,11.86046511627907,1484.4186046511627,23770,63830,586.2790697674419,4540,25210
PRV51303,No,5.483870967741935,200.0,12.0,11.849462365591398,2524.0860215053763,24230,234740,775.8064516129032,5160,72150
PRV51304,No,45.21568627450981,1068.0,12.0,11.882352941176471,2610.1960784313724,26160,133120,660.0,5280,33660
